"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
54121.8220740852,9.04410884482786,7.7114622364752,5.72801383910701,11.8290664465167,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1
43355.9506823407,12.2516015032306,14.9724488682114,12.3395979823545,10.9377689636312,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1
55190.7540002139,9.04123441549018,13.0323741817847,14.2688443581574,6.20163182495162,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0
55439.6337985552,13.96054048324,12.52421785146,14.7678604861721,8.20763866882771,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1
49573.9866436731,8.95353562664241,12.0868368912488,9.36498027062044,11.5462223580107,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0
25271.7051344937,12.5421189167537,9.16482665808871,8.74069740762934,5.67270944127813,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0
49429.2425421339,6.31768119288608,10.2769315754995,5.85484134964645,11.4136096625589,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1
48466.4912092293,11.1442782939412,9.42049992270768,11.3153955643065,5.77133259968832,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0
7277.1587432467,5.31810984481126,11.794243848417,9.74074710393324,6.50911501375958,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1
25634.4570688076,9.55469508655369,6.64954828331247,7.73137826472521,7.26772317197174,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
40867.3037148213,12.1079415245913,8.89191226568073,12.6513151265681,13.5734382970259,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1
96542.6443348252,9.31391903199255,6.32601669058204,6.49821667000651,14.2084280587733,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
56150.6263873894,6.03030181489885,6.6656994400546,7.36270989989862,13.9991460950114,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
74110.7712463278,11.579347695224,14.669799786061,10.5619608028792,11.1527284700423,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
101627.525970516,13.1478392612189,14.6741116931662,11.3238426973112,12.9788868012838,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0
37787.7771570681,8.69241032982245,5.74656483950093,5.53702718112618,6.03206086438149,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1
17323.0702343688,6.61503508454189,7.98069673124701,13.4474948258139,5.49495755927637,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0
33544.8372406655,9.52597105642781,11.1885425006039,7.24845680873841,7.74872904410586,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1
47703.8729597586,6.82097554672509,6.73081977758557,11.2007271545008,13.0022748885676,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
42180.4219305551,6.50688493158668,6.79071301361546,9.49494597036391,8.75459740171209,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0
54284.2358687812,13.5609390027821,14.196443122346,12.7540404978208,9.74833999061957,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0
44220.1560638705,10.3028271929361,5.6561564328149,6.20986186899245,10.0846488960087,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0
